internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135214.sig,db904d389902ca20631986b98a8036a3,db904d38,51,DNA,0,1000,787410,True,ERR1135214,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135215.sig,bc28070bbeafa60f53dfd03872ccee96,bc28070b,21,DNA,0,1000,877464,True,ERR1135215,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135215.sig,e68e2916e5d0fcc18a69d66e4e3ef86b,e68e2916,31,DNA,0,1000,881185,True,ERR1135215,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135215.sig,c056f7d29f3bf233311d2a34960bba31,c056f7d2,51,DNA,0,1000,773860,True,ERR1135215,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135216.sig,5b9374c0d2feac705f06ddced210cd69,5b9374c0,21,DNA,0,1000,867232,True,ERR1135216,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135216.sig,5bf2df6dbdac7c71a4f15a02b0f267bb,5bf2df6d,31,DNA,0,1000,866500,True,ERR1135216,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135216.sig,0a43da04abae8c840a6b56aa3c5c4fac,0a43da04,51,DNA,0,1000,761179,True,ERR1135216,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135217.sig,28c352a10b4aa03be24cc9d2e13406bf,28c352a1,21,DNA,0,1000,934113,True,ERR1135217,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135217.sig,d570e069d1bae03f2a485b419a700311,d570e069,31,DNA,0,1000,929599,True,ERR1135217,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135217.sig,6aa8a7c2dc9c6c466fd8b366389e2a11,6aa8a7c2,51,DNA,0,1000,806551,True,ERR1135217,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135218.sig,2ef3873c708a9500bf31ab352a05ed4f,2ef3873c,21,DNA,0,1000,931428,True,ERR1135218,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135218.sig,76500d5ac478e863bac725eef350adf7,76500d5a,31,DNA,0,1000,923389,True,ERR1135218,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135218.sig,742bf8d2fee548e3de6662f736d59ded,742bf8d2,51,DNA,0,1000,800740,True,ERR1135218,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135219.sig,952c4a931fdd240df541082451464793,952c4a93,21,DNA,0,1000,1140719,True,ERR1135219,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135219.sig,d2d3ff80df0eaf6a3f544e11aef0f762,d2d3ff80,31,DNA,0,1000,1125779,True,ERR1135219,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135219.sig,bd2d9db9e58bad6a2e3678fcdf63c81f,bd2d9db9,51,DNA,0,1000,963560,True,ERR1135219,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135220.sig,5bdb5f10707907d50cf2bc45ed41613b,5bdb5f10,21,DNA,0,1000,1112580,True,ERR1135220,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135220.sig,055fae694664859f27a041e8603b25b1,055fae69,31,DNA,0,1000,1090982,True,ERR1135220,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135220.sig,3b48620fbae20958d04b6d18bb5415ec,3b48620f,51,DNA,0,1000,918823,True,ERR1135220,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135221.sig,11cf7c860b904984d99f5bec51bb0e25,11cf7c86,21,DNA,0,1000,716541,True,ERR1135221,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135221.sig,4f72a4f8c61017c597b001c0cfa6b98d,4f72a4f8,31,DNA,0,1000,716520,True,ERR1135221,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135221.sig,6394ce3d1ad0d7af61869aec61ffd955,6394ce3d,51,DNA,0,1000,621320,True,ERR1135221,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135222.sig,faa78c4959d61ebd5a0ead0954dba468,faa78c49,21,DNA,0,1000,481162,True,ERR1135222,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135222.sig,6f732c63b925990891f41110d70cacac,6f732c63,31,DNA,0,1000,478301,True,ERR1135222,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135222.sig,512a9c1868b2c216d9b176ca3bdcd070,512a9c18,51,DNA,0,1000,414374,True,ERR1135222,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135223.sig,abdab305862d32f94b0ffa88b8a32f30,abdab305,21,DNA,0,1000,1465143,True,ERR1135223,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135223.sig,bac83b5dd0f157c77cd39d7978647e3d,bac83b5d,31,DNA,0,1000,1450245,True,ERR1135223,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135223.sig,979d20d7b9f9e79e1bad59cd6fc58e67,979d20d7,51,DNA,0,1000,1210554,True,ERR1135223,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135224.sig,0f8f10bd8aea9d6933b615dcf3077c11,0f8f10bd,21,DNA,0,1000,1488656,True,ERR1135224,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135224.sig,0fdcb457b1ad603f3ed67ec5bf3154d2,0fdcb457,31,DNA,0,1000,1474510,True,ERR1135224,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135224.sig,f36cd895f4d5d0075eae5557c16153cf,f36cd895,51,DNA,0,1000,1243561,True,ERR1135224,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135225.sig,31c430c4e244c76882ce3c791a3e418a,31c430c4,21,DNA,0,1000,1307044,True,ERR1135225,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135225.sig,b68e9cc9ca40d25960ebdd2c6c1eabf9,b68e9cc9,31,DNA,0,1000,1290908,True,ERR1135225,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135225.sig,f2fb6f21e6abe2886170868a67c034f7,f2fb6f21,51,DNA,0,1000,1081465,True,ERR1135225,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135226.sig,e2a7a0c73576651f346860d67828b358,e2a7a0c7,21,DNA,0,1000,1155891,True,ERR1135226,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135226.sig,b78fb21b6cb787ebb7439a04e2da64ff,b78fb21b,31,DNA,0,1000,1167807,True,ERR1135226,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135226.sig,5bb97d0915b900396d2a06bee692e890,5bb97d09,51,DNA,0,1000,1023804,True,ERR1135226,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135227.sig,9c6c5a75305afbe3483d963cbd71318a,9c6c5a75,21,DNA,0,1000,1058965,True,ERR1135227,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135227.sig,3f9b340c3a96c87171bd312dce2fd404,3f9b340c,31,DNA,0,1000,1065954,True,ERR1135227,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135227.sig,ad7f5f4e194ac6c1d452c49bcb3707c6,ad7f5f4e,51,DNA,0,1000,932427,True,ERR1135227,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135228.sig,9ca233894733eb17b30ca0d758a73d3a,9ca23389,21,DNA,0,1000,1304919,True,ERR1135228,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135228.sig,627df31a122acb1c68c6113a9717b12f,627df31a,31,DNA,0,1000,1304101,True,ERR1135228,-
